old_ticker,new_ticker,ex/eff_date,post_date,title
OB,TEAD,Jun-10-2025,Jun-09-2025,Outbrain Inc. - Name/Symbol Change Option Symbol: OB New Symbol: TEAD
EUSC,OPPE,Jun-02-2025,May-20-2025,WisdomTree Europe Hedged SmallCap Equity Fund - Name/Symbol Change Option Symbol: EUSC New Symbol: OPPE
SJW,HTO,May-06-2025,May-05-2025,SJW Group - Name/Symbol Change Option Symbol: SJW New Symbol: HTO
MYTE,LUXE,May-01-2025,Apr-30-2025,MYT Netherlands Parent B.V. - Name/Symbol Change Option Symbol: MYTE New Symbol: LUXE
EDOC,HEAL,Apr-01-2025,Mar-31-2025,Global X Funds Global X Telemedicine & Digital Health ETF - Name/Symbol Change Option Symbol: EDOC New Symbol: HEAL
CDXC,NAGE,Mar-19-2025,Mar-18-2025,ChromaDex Corporation - Name/Symbol Change Option Symbol: CDXC New Symbol: NAGE
SQY,XYZY,Apr-01-2025,Mar-18-2025,YieldMax SQ Option Income Strategy ETF - Name/Symbol Change Option Symbol: SQY New Symbol: XYZY
ICLK,AMBR,Mar-13-2025,Mar-12-2025,iClick Interactive Asia Group Limited - Name/Symbol Change Option Symbol: ICLK New Symbol: AMBR
PUTW,WTPI,Apr-04-2025,Feb-24-2025,WisdomTree PutWrite Strategy Fund - Name/Symbol Change Option Symbol: PUTW New Symbol: WTPI
QRTEA,QVCGA,Feb-24-2025,Feb-21-2025,"Qurate Retail, Inc. Series A - Name/Symbol Change Option Symbol: QRTEA New Symbol: QVCGA"
FREY,TE,Mar-03-2025,Feb-20-2025,"FREYR Battery, Inc. - Name/Symbol Change Option Symbol: FREY New Symbol: TE"
TPX,SGI,Feb-18-2025,Feb-12-2025,"Tempur Sealy International, Inc. - Name/Symbol Change Option Symbol: TPX New Symbol: SGI"
NEP,XIFR,Feb-03-2025,Jan-27-2025,"NextEra Energy Partners, LP - Name/Symbol Change Option Symbol: NEP New Symbol: XIFR"
JBT,JBTM,Jan-03-2025,Jan-02-2025,John Bean Technologies Corporation - Name/Symbol Change Option Symbol: JBT New Symbol: JBTM
VVI,PRSU,Jan-02-2025,Dec-31-2024,Viad Corporation - Name/Symbol Change Option Symbol: VVI New Symbol: PRSU
BSIG,AAMI,Jan-02-2025,Dec-31-2024,BrightSphere Investment Group Inc. - Name/Symbol Change Option Symbol: BSIG New Symbol: AAMI
TTAC,ABFL,Dec-13-2024,Dec-12-2024,FCF US Quality ETF - Name/Symbol Change Option Symbol: TTAC New Symbol: ABFL
BOWL,LUCK,Dec-12-2024,Dec-11-2024,Bowlero Corporation - Name/Symbol Change Option Symbol: BOWL New Symbol: LUCK
NR,NPKI,Dec-19-2024,Dec-09-2024,"Newpark Resources, Inc. - Name/Symbol Change Option Symbol: NR New Symbol: NPKI"
AJX,RPT,Dec-03-2024,Nov-21-2024,Great Ajax Corporation - Name/Symbol Change Option Symbol: AJX New Symbol: RPT
CGA,ENFY,Nov-26-2024,Nov-19-2024,"China Green Agriculture, Inc. - Name/Symbol Change Option Symbol: CGA New Symbol: ENFY"
OCUP,IRD,Oct-24-2024,Oct-23-2024,"Ocuphire Pharma, Inc. - Name/Symbol Change Option Symbol: OCUP New Symbol: IRD"
IVES,AIVC,Oct-21-2024,Oct-17-2024,Amplify Global Cloud Technology ETF - Name/Symbol Change Option Symbol: IVES New Symbol: AIVC
SGH,PENG,Oct-15-2024,Oct-14-2024,"SMART Global Holdings, Inc. - Name/Symbol Change Option Symbol: SGH New Symbol: PENG"
CHK,EXE,Oct-02-2024,Oct-01-2024,Chesapeake Energy Corporation - Name/Symbol Change Option Symbol: CHK New Symbol: EXE
AMSWA,LGTY,Oct-02-2024,Oct-01-2024,"American Software, Inc. - Name/Symbol Change Option Symbol: AMSWA New Symbol: LGTY"
EBLU,TBLU,Sep-30-2024,Sep-24-2024,Ecofin Global Water ESG Fund - Name/Symbol Change Option Symbol: EBLU New Symbol: TBLU
SOI,SEI,Sep-12-2024,Sep-11-2024,"Solaris Oilfield Infrastructure, Inc. - Name/Symbol Change Option Symbol: SOI New Symbol: SEI"
PNM,TXNM,Aug-05-2024,Aug-02-2024,"PNM Resources, Inc. - Name/Symbol Change Option Symbol: PNM New Symbol: TXNM"
IRBO,ARTY,Aug-12-2024,Jul-24-2024,iShares Robotics and Artificial Intelligence Multisector ETF - Name/Symbol Change Option Symbol: IRBO New Symbol: ARTY
FIVG,SIXG,Jul-22-2024,Jul-19-2024,Defiance Next Gen Connectivity ETF - Name/Symbol Change Option Symbol: FIVG New Symbol: SIXG
OCN,ONIT,Jun-10-2024,May-31-2024,Ocwen Financial Corporation - Name/Symbol Change Option Symbol: OCN New Symbol: ONIT
ALCC,OKLO,May-10-2024,May-09-2024,AltC Acquisition Corporation - Name/Symbol Change Option Symbol: ALCC New Symbol: OKLO
MDGS,XLYO,Apr-18-2024,Apr-17-2024,Medigus Ltd. - Name/Symbol Change Option Symbol: MDGS New Symbol: XLYO
VPN,DTCR,Apr-01-2024,Mar-28-2024,Global X Funds Global X Data Center REITs & Digital Infrastructure ETF - Name/Symbol Change Option Symbol: VPN New Symbol: DTCR
